Category,Label,Reviews,Sentiment,Emotion
Phone,1,वीवो वी 19 अच्छा है इनका गैलरी मजा नहीं आता  सब फ़ोटो को मिक्स कर देता है हालांकि मैं वीबी का ही फ़ोन यूज़ करता हु अभी 2वीवो 15 प्रो चला रहा हु।और गेलरी में किसी भी प्लेयर का ऑप्सन नही आता है आपने बहुत अच्छे से बताया है इस फोन के बारे में धन्यवाद आपने टिक टॉक हटा कर बहुत अच्छा किया ,negative,sadness
Phone,0,बहोत सस्ता है ,neutral,other
Book,0,किंडल आपके साथ इस किताब को पढ़ने में मुझे कंटिन्यू असली पढ़ने की जो सुविधा पहले आती थी अब उस पर कुछ समस्या नहीं है,positive,happiness
Book,0,मुस्लिम शासकों उनके अत्याचारों से हिन्दू जनता यूज्ड टू हो चुकी थी पूरे पचास साल तक हिंदुस्तान पर राज करने वाला यह बादशाह बेशुमार अवगुणी के साथ एक गुणी आदमी था या हम इसका उल्टा भी कह सकते हैं,neutral,other
Book,0,पर नशा है आईएएस की तैयारी,neutral,other
Book,0,एकदम जबरदस्त किताब है,positive,happiness
Book,0,एक जबरदस्त कहानी,positive,happiness
Book,0,यह पुस्तक जरूर जरूर पड़नी चहिये..मनोज पंवार सेन जोधपुर सांगते.,positive,happiness
Book,0,अर्थला बहुत ही खूबसूरत कड़ी है जिसके सभी पात्रों को अच्छे से पिरोया गया है .. इतिहास और पुराणों की कथाओं का अच्छा मिश्रण है ..इन विषयों में रुचि रखने वालों के लिए यह एक अच्छी किताब है अभी मल्हार पढ़ना शुरू करूँगा उम्मीद है यह भी मेरी अपेक्षा के अनुरूप ही होगी,positive,happiness
Book,0,रश्मि रथी के बारे में जितना कहो कम होगा एक सरिता की मानिंद बेहते हैं शब्द एक एक शब्द को पिरो के बनाई गई है हर एक पंक्ति भावों का एक सैलाब उमड़ पड़ता है मुझ में तो हर बार मैं जब जब रश्मि रथी को पढ़ता हूं सौभाग्यशाली मानता हूं खुद को कि हिंदी पढ़ पाता हूं,positive,happiness
Phone,0,मोबाइल बहुत बडिया है सर जी इनके सबसे बडिया बात लगी इसका पॉपअप कैमरा और साइड का फिंगर प्रिंट ,positive,happiness
Phone,0,इस फोन में तो सैमसंग वाले लूट रहे ,negative,anger
Book,0,इसे पढ़कर बड़ी आसानी से अपने बचपन की दौर याद आती है,positive,happiness
Book,0,शरुआत में सब कुछ साधारण सा गुजर रहा था जैसे इसने बांधने के लिए सब कुछ छिपा लिया हो तो धैर्य बनानी पड़ी फिर गहराई बढ़ती गयी और आकाश साफ होता गया सब कुछ सामने आ गयी और अंत तक मजा आ गया खासकर सुदीप,positive,happiness
Book,0,बहुत ही अच्छी कहानियों का संग्रह है बहुत ही अच्छा लगा इनके पात्रों से मिलकर अंकितजी ने पात्रों को उकेरा है तारीफे काबिल है ऐसी वैसी औरत कैसे बनी उसको बहुत ही सहजता के साथ दिखाया है बहुत आभार और शुभकामनाएं ऐसी पुस्तक के लिए,positive,happiness
Book,0,शानदार उपन्यास...लेखक ने जैसा देखा वैसा उतार दिया,positive,happiness
Book,0,कहानी ठेठ हिंदी के मिजाज की है भाषा प्रांजल है. एक ही बैठक में पठनीय.अगर व्यास साहब क्राइम थ्रिलर लिखें तो हिंदी प्रेमियों पर बहुत उपकार हो . घटित हो रहा हो क्लायमेक्स काफी दिलचस्प था मगर लगा जैसे जल्दी में खत्म कर दिया गया हो थोडा सस्पेंस और डर को खींचा जाना चाहिए था,positive,happiness
Book,0,बहुत अच्छी कहानी है doesn t need my appreciation.हिंदी भाषा को प्रेमचंद जी की एक भेंट,positive,happiness
TV,1,इसे कहते हैं पैसे लेकर रिव्यु करना  एक बार भी 1gb ram पर फोकस नही किया  आप गुरु नही गुरु घण्टाल हो। इस चुतिया tv को कोई चुतिया ही खरीदेगा। पर आपका क्या है पैसे लो और लोगों को चुतिया बनाओ   ,negative,anger
Book,0,नयी वाली हिंदी की सर्वश्रेष्ठ कृति बनारसी रस से भरपूर कॉलेज लाइफ को जीती हुई किताब कि एक बार पढ़ना शुरू करें तो अंत तक बिना रुके पढ़ते ही जाये,positive,happiness
Phone,1,पर गौरव भाई सबसे बङी कमी क्या है पता है आपको एक ही बारात में खाने वालों को पूरी सब्जी दी गई है और जो थोङे ज्यादा सगन डालेंगे उनकी प्लेट में खीर भी है ये सही नहीं है 35000 में 4g 45000 वाले को 5g भाई बात ज़मी नहीं रैम मैमोरी का फर्क तो समझ आता है पर नीचे वाले फोन में 5g ना देना अपनी बैड खुद बजवाने वाली कहानी है,negative,sadness
Phone,1,घटिया प्रोडक्ट   मेरा पोको फ़1 का पावर ऑय सी उड़ गया मोबाइल डेड हो गया   मात्र 15 महिने चला   ,negative,disgust
Phone,0,सब youtuber के लिए खराब है इसके लिए अच्छा है Tecnical गरू जी  बहुत रुपए मिला है अच्छा दिखाने के लिए   ,negative,disgust
Book,0,इसका तो कोई सब्द ही नही है ये तो सभसे बढ़िया,positive,happiness
Book,0,इन कहानियों को जरूर पढ़ें,positive,happiness
Book,1,डार्क हॉर्स पढ़ी थी दिल्ली में एक दोस्त से लेकर लाजवाब थी और वहीं से मैंने लेखक को फॉलो किया पर औघड़ एक औसत दर्जे की उपन्यास है व्यंग हो या मजाक कहानी भी स्तरहीन लगी माफी चाहता हूं पर मेरे भाई ने जो असिस्टेंट प्रोफेसर है सेंट्रल यूनिवरसिटी में उसने मुझे कहा के ये कहा से के आया बोरिंग और बकवास,negative,disgust
Book,0,कमाल कर दिया भाई साहब.. क्या बढ़िया लिखा कई.. खालिस देसी.. कॉलेज की पूरी यादें,positive,happiness
Book,0,बोले तो लाजवाब,positive,happiness
Book,1,शानदार लेखन बेहतरीन कहानी कहीं कहीं लय में चूक है .... ......पर फिर भी पढ़ने में अच्छी है बढ़िया उम्दा,neutral,other
Book,0,पूरा उपन्यास बांधे हुए रखता है पर अंतिम चरण तो धड़कने तेज कर देता है मजा आ गया एक दिन में बैठकों में खत्म किया और फिर ढूंढने निकला कि सत्या व्यास जी ने और क्या क्या लिखा है,positive,surprise
Phone,1,T G मुझे मोटो रोजर का प्राइस से समहत नही है या किमात बहुत जायदा लगा 🇮🇳👍,negative,sadness
Book,0,मुझे बहुत अच्छी लगी और आपको,positive,happiness
Book,1,फलाना कॉलेज ऑफ engineering सही कहानी लगी विद्या कसम औसत और एक और कहानी जिसका नाम शायद केवल वयस्कों के लिए था बकवास लगी स्पोकन क्लास वाली कहानी कहानी कम रोजनामचा जैसा ज्यादा लगा कुल मिला जुला कर औसत पुस्तक है साथ मे इनके द्वारा लिखी गई एक और पुस्तक अक्टूबर जंक्शन एक हॉलीवुड फ़िल्म की हु ब हु नकल है,negative,disgust
Book,0,ब्रिटिश इकॉनमी नीति को दर्शाना,neutral,other
Book,0,आप मुझे उनका अनुयायी या भक्त कह सकते हैं इससे मेरा मान बढ़ जायेगा मैं आज खुद को गौरवान्वित महसूस कर रहा हूं कि मेरा जन्म भारतवर्ष में हुआ और इन्ही भारत माता के अनगिनत सपूतों में से इस महान विभूति को पढ़ने का सौभाग्य प्राप्त हुआ,positive,happiness
Book,0,चाहूँगा इस किताब में बताई गई बातों का मूल्य इस किताब की price से बहुत अधिक है धन्यवाद ईश्वर का की उन्होंने मुझे इस किताब को खरीदने का मौका दिया,positive,happiness
Book,0,मैं एक सफल मिलेनियर बनना चाहता हू,neutral,other
Smartwatch,1,इतनी महंगी वॉच फीचर तो कुछ भी नही है क्यू गुरुजी इतना खर्चा मै तो सदमे में आ गया ,negative,sadness
Book,0,सकारत्मक परिणम,positive,happiness
Phone,1,सैमसंग गैलेक्सीA31 वेरी नाइस पर में 23.6को मोबाइल लिए है फिंगरप्रिंट पर सपोर्ट नहीं हो रहा है मैं इसके लिए क्या करूं आप मुझे बताइए मेरा नंबर सेक्स 6204923312 ,neutral,other
Book,0,एक मुकम्मल किताब एक बेहतरीन किताब वो है जो आपको थोड़ा सा बदले वैसे बदलता तो आपको समय है पर एक अच्छी किताब उस समय मे आपको बेहतर बना देती है मुझे लंबे समय से इंतजार था चौरासी का चौरासी को लेकर पहली बात तब हुई जब रायपुर में सत्य ने कहा था कि बनारस टॉकीज के पात्र और दिल्ली दरबार के पात्र का साम्य अगली किताब में नहीं होगा चौरासी के प्रिव्यू में बोकारो का खुद चरित्र होने और विषय का ज्ञान होने से भरम यह कह रहा था कि ये किताब बोकारो बलवा होगी जो tell of three cities का हिस्सा हो जाएगी बनारस टॉकीज और दिल्ली दरबार के तानेबाने एक से लगते हैं चौरासी बिल्कुल अलग चरस है किताब की भाषा भी आपको चौरासी तक ले जाती है शैम्पो कि बोतल और चापाकल जैसे शब्द भी और न जाने क्या क्या शब्द चुन लाये हैं लेखक ऐसा चयन राही मासूम रज़ा की याद दिलाता है किताब आपको कहानी में बांधे रखती है आप मनु और ऋषि दोनों का दिल अपने सीने में धड़कता महसूस कर सकते है तब भी जब स्टेशन पर गले लगते हैं और तब भी जब डर में ट्यूशन बंद होते हैं मनु का बड़े आये और ऋषि की खामोशी के आप इतने आदि हो जाते हैं कि वो पुराने मित्र लगते हैं किताब आपको शिक्षित करती है वह बताती है कि जिस दिन लाला का बेटा क्रिकेट में कप्तानी कर रहा था तब एक बड़ा पेड़ गिरा था वह बताती है कि क्यों इस बार छाबड़ा साहब घर नहीं छोड़ना चाहते वह बताती है कि आलू में तीन लोग पेट भर लेते है और पांचवें पर मनु क्यों फूट फूट रोती है किताब पेज से पिछला पेज पढ़कर) और हमारे बड़े(उस तीस पेज को कर के)ऋषि का सार्जेंट होना प्रेमचंद के विद्रोह की कहानी को याद दिलाता है मेले की मुनादी भी अच्छा सीन गढ़ लेती है,positive,happiness
Book,0,श्रृंखला को पूरा करने के लिए पढ़ें,neutral,other
Book,0,बालपन से युवा होते और अपने जीवन की सही दिशा और दशा ढूंढने की बेचैन बच्चों कि बाईबल,positive,other
Book,0,गांधी की यह बूक बहुत ही सही है आजकल भ्रम फैला रहे लोगों को यह पढनी चाहिए,positive,happiness
Book,0,इश्क़ में शहर होना,neutral,other
Book,0,काफी रोमांचक है और कुछ हट के भी,positive,surprise
Book,0,दिल्ली दरबार और बनारस टॉकीज से इतर एक झकझोरने वाली प्रेम कथा जो आखिरी पन्नों में हर पाठक को कुछ सोचने के लिये मजबूर करती है,positive,other
Book,0,जो लोग सिविल सर्विसेज रेलवे एसएससी बैंक एल आई सी इत्यादि सेवा सरकारी सेवाओं के तैयारी कर रहे हैं उनके लिए यह खिताब बहुत ही उपयोगी है,positive,other
Book,0,डार्क हॉर्स ने तो दिल ही जीत लिया आजतक पढ़ी किताबो से बेहतर है ये किताब जय हो,positive,happiness
Phone,1,Guruji processor are weak or 6.4 inches की जगह 6.5 तो होनी ही चाहिए ,negative,sadness
